iso3,outcome,factor,sex_name,age_name,paf,deaths_attr,deaths_lo,deaths_hi,glp1_channel,convergence
NZL,IHD,fruits,Female,90-94 years,0.0271924175835588,15.432455208294185,2.6235701869064245,33.942630030904354,部分汇流-结构小部可及,0.13
NZL,IHD,fruits,Female,95+ years,0.0271695214188868,9.915868990278817,1.675437392382398,22.37859231243388,部分汇流-结构小部可及,0.13
ISR,IHD,fruits,Female,25-29 years,0.0490034772592713,0.0235345888407773,0.0035801817679586,0.0596859790649256,部分汇流-结构小部可及,0.13
ISR,IHD,fruits,Female,30-34 years,0.0446400316138682,0.0439794639890253,0.0079345760382834,0.1030617227624221,部分汇流-结构小部可及,0.13
ISR,IHD,fruits,Female,35-39 years,0.0398983462077729,0.0702787560992295,0.0119163962474589,0.1985818952637061,部分汇流-结构小部可及,0.13
ISR,IHD,fruits,Female,40-44 years,0.0318903276707863,0.1088395228368527,0.0182292379965809,0.3097170222534143,部分汇流-结构小部可及,0.13
ISR,IHD,fruits,Female,45-49 years,0.0222855528548302,0.1837566355058135,0.0253788094749461,0.4684263694183482,部分汇流-结构小部可及,0.13
ISR,IHD,fruits,Female,50-54 years,0.0149701887524973,0.1800744567552971,0.0229929580593405,0.4838111261515671,部分汇流-结构小部可及,0.13
ISR,IHD,fruits,Female,55-59 years,0.0096553579118035,0.1800349813062733,0.0234950994417885,0.5344033155951744,部分汇流-结构小部可及,0.13
ISR,IHD,fruits,Female,60-64 years,0.0070294675348769,0.2306807196180378,0.0266872501937555,0.7025868377771496,部分汇流-结构小部可及,0.13
ISR,IHD,fruits,Female,65-69 years,0.0063381530146106,0.4086311117104491,0.0460843882469585,1.2669124967447685,部分汇流-结构小部可及,0.13
ISR,IHD,fruits,Female,70-74 years,0.0058698214696746,0.6877533538354472,0.068677124200696,2.0908185647935023,部分汇流-结构小部可及,0.13
ISR,IHD,fruits,Female,75-79 years,0.005799435235158,0.9943749887773304,0.0932323349975002,3.024753163305271,部分汇流-结构小部可及,0.13
ISR,IHD,fruits,Female,80-84 years,0.006399122935649,2.038233372814665,0.2014376471527366,5.848748606086943,部分汇流-结构小部可及,0.13
ISR,IHD,fruits,Female,85-89 years,0.0064521054339204,3.551355799062488,0.3647321915916965,9.869222306250824,部分汇流-结构小部可及,0.13
ISR,IHD,fruits,Female,90-94 years,0.0064938983205879,3.0698730979800968,0.2957463450050258,8.382386807591974,部分汇流-结构小部可及,0.13
ISR,IHD,fruits,Female,95+ years,0.0065084319590199,2.3729565785221176,0.24748602609578,6.812633299526484,部分汇流-结构小部可及,0.13
BRA,IHD,fruits,Female,25-29 years,0.1234043492524003,17.236223133355445,4.608538274073284,30.33476164578473,部分汇流-结构小部可及,0.13
BRA,IHD,fruits,Female,30-34 years,0.1196460419450135,31.683284872295545,8.200653886090434,57.73808947389308,部分汇流-结构小部可及,0.13
BRA,IHD,fruits,Female,35-39 years,0.1129699699030669,58.40881963869873,15.287089002181226,108.82623785706778,部分汇流-结构小部可及,0.13
BRA,IHD,fruits,Female,40-44 years,0.0997033261150139,103.87274198535326,26.079127175207766,201.26453926446345,部分汇流-结构小部可及,0.13
