iso3,arm,coverage,flow,yr
DEU,combo,afford,16631.558158788946,12
DEU,diet,0.20,2328.2656017838963,12
DEU,diet,0.50,2328.2656017838963,12
DEU,diet,afford,2328.2656017838963,12
DEU,glp1,0.20,2882.064796091076,12
DEU,glp1,0.50,7214.222074664325,12
DEU,glp1,afford,14458.855952427624,12
EGY,combo,0.20,5739.422060908615,12
EGY,combo,0.50,11451.955615627185,12
EGY,combo,afford,21079.14737536925,12
EGY,diet,0.20,1956.7734503640604,12
EGY,diet,0.50,1956.7734503640604,12
EGY,diet,afford,1956.7734503640604,12
EGY,glp1,0.20,3810.346890958343,12
EGY,glp1,0.50,9564.526501797303,12
EGY,glp1,afford,19261.390121076263,12
GBR,combo,0.20,2922.9787884609214,12
GBR,combo,0.50,5263.935726585473,12
GBR,combo,afford,9178.21503225302,12
GBR,diet,0.20,1365.4788243121602,12
GBR,diet,0.50,1365.4788243121602,12
GBR,diet,afford,1365.4788243121602,12
GBR,glp1,0.20,1577.5125724313366,12
GBR,glp1,0.50,3948.381886112873,12
GBR,glp1,afford,7912.223989960968,12
GLB,combo,0.20,360959.8555452528,12
GLB,combo,0.50,507635.9594449775,12
GLB,combo,afford,752681.0870232062,12
GLB,diet,0.20,263320.7484033719,12
GLB,diet,0.50,263320.7484033719,12
GLB,diet,afford,263320.7484033719,12
GLB,glp1,0.20,99764.24031771754,12
GLB,glp1,0.50,249623.3078011881,12
GLB,glp1,afford,499960.5306224644,12
IND,combo,0.20,42405.72031771524,12
IND,combo,0.50,53913.50359400578,12
IND,combo,afford,73124.80478183611,12
IND,diet,0.20,34741.72721106723,12
IND,diet,0.50,34741.72721106723,12
IND,diet,afford,34741.72721106723,12
IND,glp1,0.20,7795.16237238561,12
IND,glp1,0.50,19499.635533830988,12
IND,glp1,afford,39038.57961255487,12
ISR,combo,0.20,242.01589496594545,12
ISR,combo,0.50,442.78510739324577,12
ISR,combo,afford,778.5795553952686,12
ISR,diet,0.20,108.4613209419856,12
ISR,diet,0.50,108.4613209419856,12
ISR,diet,afford,108.4613209419856,12
ISR,glp1,0.20,135.21883371778767,12
ISR,glp1,0.50,338.47586650785047,12
ISR,glp1,afford,678.3933732960044,12
JPN,combo,0.20,4144.025817243084,12
JPN,combo,0.50,6076.065326804273,12
